案由	编码				
293、证券上市合同纠纷	008005008				
294、证券交易代理合同纠纷	008005009				
295、证券上市保荐合同纠纷	008005010				
296、证券发行纠纷	008005011				
（1）证券认购纠纷	008005011001				
（2）证券发行失败纠纷	008005011002				
297、证券返还纠纷	008005012				
298、证券欺诈责任纠纷	008005013				
（1）证券内幕交易责任纠纷	008005013001				
（2）操纵证券交易市场责任纠纷	008005013002				
（3）证券虚假陈述责任纠纷	008005013003				
（4）欺诈客户责任纠纷	008005013004				
299、证券托管纠纷	008005014				
300、证券登记、存管、结算纠纷	008005015				
301、融资融券交易纠纷	008005016				
302、客户交易结算资金纠纷	008005017				
二十五、期货交易纠纷	008006				
303、期货经纪合同纠纷	008006001				
304、期货透支交易纠纷	008006002				
305、期货强行平仓纠纷	008006003				
306、期货实物交割纠纷	008006004				
307、期货保证合约纠纷	008006005				
308、期货交易代理合同纠纷	008006006				
309、侵占期货交易保证金纠纷	008006007				
310、期货欺诈责任纠纷	008006008				
311、操纵期货交易市场责任纠纷	008006009				
312、期货内幕交易责任纠纷	008006010				
313、期货虚假信息责任纠纷	008006011				
二十六、信托纠纷	008007				
314、民事信托纠纷	008007001				
315、营业信托纠纷	008007002				
316、公益信托纠纷	008007003				
二十七、保险纠纷	008008				
317、财产保险合同纠纷	008008001				
（1）财产损失保险合同纠纷	008008001001				
（2）责任保险合同纠纷	008008001002				
（3）信用保险合同纠纷	008008001003				
（4）保证保险合同纠纷	008008001004				
（5）保险人代位求偿权纠纷	008008001005				
318、人身保险合同纠纷	008008002				
（1）人寿保险合同纠纷	008008002001				
（2）意外伤害保险合同纠纷	008008002002				
（3）健康保险合同纠纷	008008002003				
319、再保险合同纠纷	008008003				
320、保险经纪合同纠纷	008008004				
321、保险代理合同纠纷	008008005				
322、进出口信用保险合同纠纷	008008006				
323、保险费纠纷	008008007				
二十八、票据纠纷	008009				
